Plant Name,Updated Time,Time Zone,Production Power(W),Consumption Power(W),Grid Power(W),Feed-in Power(W),Purchasing Power(W),Battery Power(W),Charging Power(W),Discharging Power(W),SoC(%)
Brierton,2023/05/18 14:00,UTCZ,0.00,520.00,-510.00,,-510.00,0.00,,,0.00
Brierton,2023/05/18 14:05,UTCZ,0.00,590.00,-970.00,,-970.00,0.00,,,0.00
Brierton,2023/05/18 14:10,UTCZ,0.00,970.00,-580.00,,-580.00,0.00,,,0.00
Brierton,2023/05/18 14:15,UTCZ,0.00,590.00,-590.00,,-590.00,0.00,,,0.00
Brierton,2023/05/18 14:20,UTCZ,0.00,540.00,-540.00,,-540.00,0.00,,,0.00
Brierton,2023/05/18 14:25,UTCZ,0.00,950.00,-510.00,,-510.00,0.00,,,0.00
Brierton,2023/05/18 14:30,UTCZ,0.00,960.00,-540.00,,-540.00,0.00,,,0.00
Brierton,2023/05/18 14:40,UTCZ,0.00,310.00,-780.00,,-780.00,0.00,,,0.00
Brierton,2023/05/18 14:45,UTCZ,0.00,740.00,-330.00,,-330.00,0.00,,,0.00
Brierton,2023/05/18 14:50,UTCZ,0.00,870.00,-450.00,,-450.00,0.00,,,0.00
Brierton,2023/05/18 14:55,UTCZ,0.00,440.00,-840.00,,-840.00,0.00,,,0.00
Brierton,2023/05/18 15:00,UTCZ,0.00,550.00,-530.00,,-530.00,0.00,,,0.00
Brierton,2023/05/18 15:05,UTCZ,0.00,390.00,-420.00,,-420.00,0.00,,,0.00
Brierton,2023/05/18 15:10,UTCZ,0.00,400.00,-860.00,,-860.00,0.00,,,0.00
Brierton,2023/05/18 15:15,UTCZ,0.00,1180.00,-520.00,,-520.00,0.00,,,0.00
Brierton,2023/05/18 15:20,UTCZ,0.00,550.00,-570.00,,-570.00,0.00,,,0.00
Brierton,2023/05/18 15:25,UTCZ,0.00,550.00,-1030.00,,-1030.00,0.00,,,0.00
Brierton,2023/05/18 15:30,UTCZ,0.00,400.00,-430.00,,-430.00,0.00,,,0.00
Brierton,2023/05/18 15:35,UTCZ,2600.00,400.00,160.00,160.00,,1800.00,1800.00,,55.00
Brierton,2023/05/18 15:40,UTCZ,3100.00,580.00,190.00,190.00,,1900.00,1900.00,,58.00
Brierton,2023/05/18 15:45,UTCZ,3700.00,500.00,380.00,380.00,,2400.00,2400.00,,62.00
Brierton,2023/05/18 15:50,UTCZ,3100.00,360.00,170.00,170.00,,2200.00,2200.00,,66.00
Brierton,2023/05/18 15:55,UTCZ,2600.00,350.00,30.00,30.00,,2000.00,2000.00,,69.00
Brierton,2023/05/18 16:05,UTCZ,3100.00,1120.00,70.00,70.00,,2200.00,2200.00,,76.00
Brierton,2023/05/18 16:10,UTCZ,2200.00,3410.00,-240.00,,-240.00,-1300.00,,-1300.00,78.00
Brierton,2023/05/18 16:15,UTCZ,2600.00,790.00,160.00,160.00,,1600.00,1600.00,,80.00
Brierton,2023/05/18 16:20,UTCZ,4000.00,540.00,10.00,10.00,,2600.00,2600.00,,83.00
Brierton,2023/05/18 16:25,UTCZ,2100.00,440.00,260.00,260.00,,1300.00,1300.00,,87.00
Brierton,2023/05/18 16:30,UTCZ,1900.00,2440.00,0.00,,,-600.00,,-600.00,88.00
Brierton,2023/05/18 16:35,UTCZ,2300.00,3710.00,-20.00,,-20.00,-1400.00,,-1400.00,89.00
Brierton,2023/05/18 16:40,UTCZ,2400.00,2650.00,0.00,,,-600.00,,-600.00,88.00
Brierton,2023/05/18 16:45,UTCZ,2200.00,2040.00,0.00,,,0.00,,,88.00
Brierton,2023/05/18 16:50,UTCZ,2200.00,2230.00,-40.00,,-40.00,0.00,,,88.00
Brierton,2023/05/18 16:55,UTCZ,1900.00,2250.00,0.00,,,-300.00,,-300.00,87.00
Brierton,2023/05/18 17:00,UTCZ,1800.00,2090.00,0.00,,,-300.00,,-300.00,86.00
Brierton,2023/05/18 17:10,UTCZ,1700.00,680.00,-50.00,,-50.00,700.00,700.00,,88.00
Brierton,2023/05/18 17:15,UTCZ,1900.00,1010.00,380.00,380.00,,800.00,800.00,,89.00
Brierton,2023/05/18 17:20,UTCZ,1700.00,990.00,0.00,,,600.00,600.00,,90.00
Brierton,2023/05/18 17:25,UTCZ,1600.00,450.00,0.00,,,600.00,600.00,,91.00
Brierton,2023/05/18 17:30,UTCZ,1500.00,820.00,-60.00,,-60.00,600.00,600.00,,92.00
Brierton,2023/05/18 17:35,UTCZ,1400.00,790.00,0.00,,,500.00,500.00,,94.00
